units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
NISP,NA,cyst,33034,NA,Algae,cyst,Chrysophyceae,ALGA,23,1
NISP,NA,frustule,5395,NA,Diatoms,frustule,Eunotia,DIAT,9,1
NISP,NA,frustule,10160,NA,Diatoms,frustule,Achnanthes clevei,DIAT,17,1
NISP,NA,frustule,10162,NA,Diatoms,frustule,Achnanthes didyma,DIAT,1,1
NISP,NA,frustule,10165,NA,Diatoms,frustule,Achnanthes flexella,DIAT,6,1
NISP,NA,frustule,10170,NA,Diatoms,frustule,Achnanthes lanceolata,DIAT,11,1
NISP,NA,frustule,10177,NA,Diatoms,frustule,Achnanthes levanderi,DIAT,1,1
NISP,NA,frustule,10181,NA,Diatoms,frustule,Achnanthes pusilla,DIAT,1,1
NISP,NA,frustule,10185,NA,Diatoms,frustule,Achnanthes minutissima,DIAT,40,2
NISP,NA,frustule,10205,NA,Diatoms,frustule,Achnanthes biasolettiana,DIAT,4,1
NISP,NA,frustule,10247,NA,Diatoms,frustule,Achnanthes conspicua,DIAT,3,1
NISP,NA,frustule,10256,NA,Diatoms,frustule,Achnanthes rosenstockii,DIAT,1,1
NISP,NA,frustule,10258,NA,Diatoms,frustule,Achnanthes trinodis,DIAT,2,1
NISP,NA,frustule,10283,NA,Diatoms,frustule,Achnanthes ziegleri,DIAT,1,1
NISP,NA,frustule,10288,NA,Diatoms,frustule,Achnanthes minutissima var. scotica,DIAT,2,1
NISP,NA,frustule,10299,NA,Diatoms,frustule,Achnanthes holsatica,DIAT,1,1
NISP,NA,frustule,10305,NA,Diatoms,frustule,Achnanthes joursacense,DIAT,1,1
NISP,NA,frustule,10326,NA,Diatoms,frustule,Amphora thumensis,DIAT,5,1
NISP,NA,frustule,10331,NA,Diatoms,frustule,Amphora inariensis,DIAT,29,2
NISP,NA,frustule,10337,NA,Diatoms,frustule,Amphora libyca,DIAT,16,2
NISP,NA,frustule,10342,NA,Diatoms,frustule,Amphora pediculus,DIAT,30,1
NISP,NA,frustule,10344,NA,Diatoms,frustule,Amphora fogediana,DIAT,1,1
NISP,NA,frustule,10346,NA,Diatoms,frustule,Amphora aequalis,DIAT,1,1
NISP,NA,frustule,10376,NA,Diatoms,frustule,Asterionella formosa,DIAT,52,2
NISP,NA,frustule,10389,NA,Diatoms,frustule,Aulacoseira ambigua,DIAT,20,2
NISP,NA,frustule,10395,NA,Diatoms,frustule,Aulacoseira granulata,DIAT,9,1
NISP,NA,frustule,10397,NA,Diatoms,frustule,Aulacoseira alpigena,DIAT,1,1
NISP,NA,frustule,10404,NA,Diatoms,frustule,Caloneis bacillum,DIAT,1,1
NISP,NA,frustule,10415,NA,Diatoms,frustule,Caloneis schumanniana var. biconstricta,DIAT,1,1
NISP,NA,frustule,10420,NA,Diatoms,frustule,Caloneis undulata,DIAT,1,1
NISP,NA,frustule,10423,NA,Diatoms,frustule,Caloneis alpestris,DIAT,2,1
NISP,NA,frustule,10428,NA,Diatoms,frustule,Caloneis schumanniana,DIAT,1,1
NISP,NA,frustule,10432,NA,Diatoms,frustule,Caloneis latiuscula,DIAT,1,1
NISP,NA,frustule,10448,NA,Diatoms,frustule,Cocconeis placentula,DIAT,21,2
NISP,NA,frustule,10454,NA,Diatoms,frustule,Cocconeis pediculus,DIAT,1,1
